GL,Br,Statutory_GL,Statutory_Type,Transaction_Type,Headers
1013,222,5121-06,Asset,B2BT,NULL
1013,222,5121-06,Asset,DEP,NULL
1013,222,5121-06,Asset,JOE,NULL
1013,222,5121-06,Asset,PMT,NULL
1013,222,5121-06,Asset,RRD,NULL
1013,222,5121-06,Asset,XPMT,NULL
1013,222,5121-06,Asset,YEND,NULL
1014,222,5121-04,Asset,B2BT,NULL
1014,222,5121-04,Asset,CADJ,NULL
1014,222,5121-04,Asset,CLH,NULL
1014,222,5121-04,Asset,DEP,NULL
1014,222,5121-04,Asset,IV,NULL
1014,222,5121-04,Asset,JOE,NULL
1014,222,5121-04,Asset,JOV,NULL
1014,222,5121-04,Asset,OUPA,NULL
1014,222,5121-04,Asset,PMT,NULL
1014,222,5121-04,Asset,RDCS,NULL
1014,222,5121-04,Asset,RRD,NULL
1014,222,5121-04,Asset,XOIP,NULL
1014,222,5121-04,Asset,XOIR,NULL
1014,222,5121-04,Asset,XPMT,NULL
1014,222,5121-04,Asset,YEND,NULL
1021,222,5121-07,Asset,B2BT,NULL
1021,222,5121-07,Asset,CADJ,NULL
1021,222,5121-07,Asset,CLH,NULL
1021,222,5121-07,Asset,DEP,NULL
1021,222,5121-07,Asset,IV,NULL
1021,222,5121-07,Asset,JOE,NULL
1021,222,5121-07,Asset,JOV,NULL
1021,222,5121-07,Asset,OUPA,NULL
1021,222,5121-07,Asset,PMT,NULL
1021,222,5121-07,Asset,RDCS,NULL
1021,222,5121-07,Asset,RRD,NULL
1021,222,5121-07,Asset,XOIP,NULL
1021,222,5121-07,Asset,XOIR,NULL
1021,222,5121-07,Asset,XPMT,NULL
1021,222,5121-07,Asset,YEND,NULL
1022,222,5121-08,Asset,B2BT,NULL
1022,222,5121-08,Asset,CADJ,NULL
1022,222,5121-08,Asset,CLH,NULL
1022,222,5121-08,Asset,DEP,NULL
1022,222,5121-08,Asset,IV,NULL
1022,222,5121-08,Asset,JOV,NULL
1022,222,5121-08,Asset,OUPA,NULL
1022,222,5121-08,Asset,PMT,NULL
1022,222,5121-08,Asset,RDCS,NULL
1022,222,5121-08,Asset,XOIP,NULL
1022,222,5121-08,Asset,XOIR,NULL
1022,222,5121-08,Asset,XPMT,NULL
1023,222,5124-06,Asset,B2BT,NULL
1023,222,5124-06,Asset,CADJ,NULL
1023,222,5124-06,Asset,CLH,NULL
1023,222,5124-06,Asset,DEP,NULL
1023,222,5124-06,Asset,IV,NULL
1023,222,5124-06,Asset,JOV,NULL
1023,222,5124-06,Asset,OUPA,NULL
1023,222,5124-06,Asset,PMT,NULL
1023,222,5124-06,Asset,RDCS,NULL
1023,222,5124-06,Asset,XOIP,NULL
1023,222,5124-06,Asset,XOIR,NULL
1023,222,5124-06,Asset,XPMT,NULL
1024,222,5124-07,Asset,B2BT,NULL
1024,222,5124-07,Asset,CADJ,NULL
1024,222,5124-07,Asset,CLH,NULL
1024,222,5124-07,Asset,DEP,NULL
1024,222,5124-07,Asset,IV,NULL
1024,222,5124-07,Asset,JOV,NULL
1024,222,5124-07,Asset,OUPA,NULL
1024,222,5124-07,Asset,PMT,NULL
1024,222,5124-07,Asset,RDCS,NULL
1024,222,5124-07,Asset,XOIP,NULL
1024,222,5124-07,Asset,XOIR,NULL
1024,222,5124-07,Asset,XPMT,NULL
1050,1,5121-02,Asset,B2BT,NULL
1050,1,5121-02,Asset,DEP,NULL
1050,1,5121-02,Asset,PMT,NULL
1080,NULL,5311,"Not Found",CADJ,NULL
1080,NULL,5311,"Not Found",CLH,NULL
1080,NULL,5311,"Not Found",IV,NULL
1080,NULL,5311,"Not Found",JOE,NULL
1080,NULL,5311,"Not Found",JOV,NULL
1080,NULL,5311,"Not Found",OUPA,NULL
1080,NULL,5311,"Not Found",RDCS,NULL
1080,NULL,5311,"Not Found",RRD,NULL
1080,NULL,5311,"Not Found",XOIP,NULL
1080,NULL,5311,"Not Found",XOIR,NULL
1080,NULL,5311,"Not Found",YEND,NULL
1102,NULL,4426-01,Liability,CADJ,NULL
1102,NULL,4426-01,Liability,CLH,NULL
1102,NULL,4426-01,Liability,IV,NULL
1102,NULL,4426-01,Liability,JOE,NULL
1102,NULL,4426-01,Liability,JOV,NULL
1102,NULL,4426-01,Liability,OUPA,NULL
1102,NULL,4426-01,Liability,RCR,NULL
1102,NULL,4426-01,Liability,RDCS,NULL
1102,NULL,4426-01,Liability,RIN,NULL
1102,NULL,4426-01,Liability,RRD,NULL
1102,NULL,4426-01,Liability,XOIP,NULL
1102,NULL,4426-01,Liability,XOIR,NULL
1102,NULL,4426-01,Liability,XRCR,NULL
1102,NULL,4426-01,Liability,XRIN,NULL
1102,NULL,4426-01,Liability,YEND,NULL
1103,NULL,4426-02,Liability,CADJ,NULL
1103,NULL,4426-02,Liability,CLH,NULL
1103,NULL,4426-02,Liability,IV,NULL
1103,NULL,4426-02,Liability,JOE,NULL
1103,NULL,4426-02,Liability,JOV,NULL
1103,NULL,4426-02,Liability,OUPA,NULL
1103,NULL,4426-02,Liability,RCR,NULL
1103,NULL,4426-02,Liability,RDCS,NULL
1103,NULL,4426-02,Liability,RIN,NULL
