id,GL,BR,Statutory_GL,Statutory_Type,Transaction_Types,headers
27,1108,NULL,4426-04,Liability,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
28,1110,NULL,411-01,Asset,"[B2BT, CADJ, CLH, DEP, ICR, INV, IV, JOV, OUPA, PMT, RDCS, XICR, XINV, XOIP, XOIR, XPMT]",[]
29,1110,1.0,411-02,Asset,"[B2BT, CADJ, CLH, DEP, ICR, INV, IV, JOV, OUPA, PMT, RDCS, XICR, XINV, XOIP, XOIR, XPMT]",[]
30,1110,2.0,411-03,Asset,"[B2BT, CADJ, CLH, DEP, ICR, INV, IV, JOV, OUPA, PMT, RDCS, XICR, XINV, XOIP, XOIR]",[]
31,1111,NULL,411-01,Asset,"[JOE, RRD, YEND]",[]
32,113100,NULL,411-03,Asset,"[B2BT, CADJ, CLH, DEP, ICR, INV, IV, JOV, OUPA, PMT, RDCS, XICR, XINV, XOIP, XOIR]",[]
33,114100,NULL,411-02,Asset,"[B2BT, CADJ, CLH, DEP, ICR, INV, IV, JOV, OUPA, PMT, RDCS, XICR, XINV, XOIP, XOIR, XPMT]",[]
34,1209,NULL,921-06,Expense,"[JOE, RRD, YEND]",[]
35,1210,NULL,921-06,Expense,"[JOE, RRD, YEND]",[]
36,1211,NULL,921-06,Expense,"[JOE, RRD, YEND]",[]
37,1212,NULL,654,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
38,1212,NULL,921-06,Expense,"[JOE, RRD, YEND]",[]
39,1214,NULL,921-06,Expense,"[JOE, RRD, YEND]",[]
40,1215,NULL,921-06,Expense,"[JOE, RRD, YEND]",[]
41,1216,NULL,921-06,Expense,"[JOE, RRD, YEND]",[]
42,1320,NULL,441,Liability,"[B2BT, CADJ, CLH, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
43,139000,NULL,332,Asset,"[JOE, RRD, YEND]",[]
44,139001,NULL,332,Asset,"[JOE, RRD, YEND]",[]
45,139002,NULL,332,Asset,"[JOE, RRD, YEND]",[]
46,1500,NULL,471,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]",[]
47,1550,NULL,267,Asset,"[CADJ, CLH, DEP, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
48,1601,NULL,214,Asset,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
49,1602,NULL,2133,Liability,"[RCR, RIN, XRCR, XRIN]",[]
50,1603,NULL,2131-00,Asset,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
51,1604,NULL,212,Asset,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
52,1610,NULL,208,Asset,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
53,1611,NULL,205-01,Asset,"[RCR, RIN, XRCR, XRIN]",[]
54,1615,NULL,2131-01,Asset,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
55,1801,NULL,267,Asset,"[B2BT, DEP, PMT, RCR, RIN, XPMT, XRCR, XRIN]",[]
56,2003,NULL,428,Liability,"[CADJ, CLH, IV, JOE, JOV, OUPA, RDCS, RRD, XOIP, XOIR, YEND]",[]
57,2015,NULL,542,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
58,2021,NULL,4315-01,Liability,"[B2BT, PMT]",[]
59,2022,NULL,4311-01,Liability,"[B2BT, PMT]",[]
60,2023,NULL,4313-01,Liability,"[B2BT, PMT]",[]
61,2024,NULL,4316-01,Liability,"[B2BT, PMT]",[]
62,2025,NULL,4371-01,Liability,"[B2BT, PMT]",[]
63,2026,NULL,4372-01,Liability,"[B2BT, PMT]",[]
64,2027,NULL,4371-02,Liability,"[B2BT, PMT]",[]
65,2028,NULL,4471-01,Liability,"[B2BT, PMT]",[]
66,2035,NULL,408,Liability,"[JOE, RIN, RRD, XRCR, YEND]",[]
67,2036,NULL,1511-01,Liability,"[JOE, RRD, YEND]",[]
68,2100,NULL,461,Asset,"[B2BT, CADJ, CLH, DEP, ICR, INV, IV, JOV, OUPA, PMT, RCR, RDCS, RIN, XICR, XINV, XOIP, XOIR, XRCR, XRIN]",[]
69,2101,NULL,461,Asset,"[B2BT, CADJ, CLH, DEP, ICR, INV, IV, JOV, OUPA, PMT, RCR, RDCS, RIN, XICR, XINV, XOIP, XOIR, XRCR, XRIN]",[]
70,210100,NULL,401-01,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RCR, RDCS, RIN, XOIP, XOIR, XPMT, XRCR, XRIN]",[]
71,2102,NULL,628-07,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
72,2102,NULL,704-07,Revenue,"[ICR, INV, XICR, XINV]",[]
73,2102,1.0,401-10,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]","[RIN/XRCR, RCR/XRIN]"
74,2102,1.0,628-10,Expense,"[RCR, RIN, XRCR, XRIN]",[]
75,2102,1.0,921-03,Expense,[ES],[]
76,2102,2.0,401-01,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR]","[RIN/XRCR, RCR/XRIN]"
77,2102,2.0,628-10,Expense,"[RCR, RIN, XRCR, XRIN]",[]
78,2102,2.0,921-04,Expense,[ES],[]
79,2103,NULL,628-02,Expense,"[RCR, RIN, XRCR, XRIN]",[]
80,2103,NULL,704-02,Revenue,"[CADJ, CLH, ICR, INV, IV, JOV, OUPA, RDCS, XICR, XINV, XOIP, XOIR]",[]
81,2105,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
82,2105,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
83,2106,NULL,628-00,Expense,"[RCR, RIN, XRCR, XRIN]",[]
84,2106,NULL,704-00,Revenue,"[CADJ, CLH, ICR, INV, IV, JOV, OUPA, RDCS, XICR, XINV, XOIP, XOIR]",[]
85,2106,NULL,921-04,Expense,[ES],[]
86,2109,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
87,2110,NULL,704-15,Revenue,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
88,211010,NULL,401,Liability,"[B2BT, PMT, XPMT]",[]
89,211010,NULL,628-090,Expense,"[CADJ, CLH, DEP, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
90,211010,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
91,211010,NULL,921-06,Expense,[ES],[]
92,2111,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
93,2111,NULL,921-05,Expense,[ES],[]
94,2115,NULL,628-04,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
95,2115,NULL,704-04,Revenue,"[ICR, INV, XICR, XINV]",[]
96,2118,NULL,628-25,Expense,"[RCR, RIN, XRCR, XRIN]",[]
97,2118,NULL,704-25,Revenue,"[ICR, INV, XICR, XINV]",[]
98,2120,NULL,401-01,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RCR, RDCS, RIN, XOIP, XOIR, XPMT, XRCR, XRIN]","[RIN/XRCR, RCR/XRIN]"
99,2121,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
100,2121,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
101,2123,NULL,628-08,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
102,2123,NULL,704-08,Revenue,"[ICR, INV, XICR, XINV]",[]
103,2130,2.0,401,Liability,"[B2BT, PMT, XPMT]",[]
104,2130,2.0,628-09,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
105,2130,2.0,704-09,Revenue,"[ICR, INV, XICR, XINV]",[]
106,2130,2.0,921-06,Expense,[ES],[]
107,213100,NULL,401,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR]","[RIN/XRCR, RCR/XRIN]"
108,213100,NULL,628-10,Expense,"[RCR, RIN, XRCR, XRIN]",[]
109,213100,NULL,921-04,Expense,[ES],[]
110,2132,NULL,401,Liability,"[B2BT, PMT, XPMT]",[]
111,2132,NULL,628-120,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
112,2132,NULL,704-12,Revenue,[],[]
113,2132,NULL,921-06,Expense,[ES],[]
114,2140,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
115,2140,NULL,921-04,Expense,[ES],[]
116,214100,NULL,401-10,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]","[RIN/XRCR, RCR/XRIN]"
117,214100,NULL,628-10,Expense,"[RCR, RIN, XRCR, XRIN]",[]
118,214100,NULL,921-03,Expense,[ES],[]
119,2144,NULL,461,Asset,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
120,2148,NULL,408,Liability,[],[]
121,2148,NULL,472,Liability,"[JOE, RRD, YEND]",[]
122,2150,NULL,408,Liability,"[CADJ, CLH, IV, JOE, JOV, OUPA, RDCS, RRD, XOIP, XOIR, YEND]",[]
123,2151,NULL,408,Liability,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
124,2162,NULL,462,Liability,[DEP],[]
125,2170,NULL,423,Liability,"[JOE, RRD, YEND]",[]
126,2171,NULL,436,Liability,"[B2BT, DEP, JOE, PMT, RRD, XPMT, YEND]",[]
127,2172,NULL,4382-02,Liability,"[B2BT, DEP, PMT, XPMT]",[]
128,2172,NULL,4471-01,Liability,[],[]
129,2173,NULL,408,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
130,2174,NULL,444,Liability,"[B2BT, JOE, PMT, RRD, YEND]",[]
131,2175,NULL,4311-01,Liability,"[JOE, RRD, YEND]",[]
132,2176,NULL,4311-02,Liability,"[JOE, RRD, YEND]",[]
133,2177,NULL,421,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]",[RIN/XRCR]
134,2178,NULL,4312-01,Liability,"[JOE, RRD, YEND]",[]
135,2179,NULL,4314-01,Liability,[],[]
136,2179,NULL,446-02,Liability,"[B2BT, JOE, PMT, RRD, YEND]",[]
137,2179,NULL,448,Liability,[],[]
138,2190,NULL,4427-01,Liability,"[CADJ, CLH, ICR, INV, IV, JOE, JOV, OUPA, RDCS, RRD, XICR, XINV, XOIP, XOIR, YEND]",[]
139,2191,NULL,4427-03,Liability,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
140,2192,NULL,446-01,Liability,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
141,2193,NULL,4423-01,Liability,"[B2BT, CADJ, CLH, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
142,2207,NULL,408,Liability,"[JOE, RRD, YEND]",[]
143,2289,NULL,446-01,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]",[]
144,2290,NULL,441,Liability,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IS, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
145,239000,NULL,472,Liability,"[JOE, RRD, YEND]",[]
146,239001,NULL,472,Liability,"[JOE, RRD, YEND]",[]
147,239002,NULL,472,Liability,"[JOE, RRD, YEND]",[]
148,239003,NULL,472,Liability,"[JOE, RRD, YEND]",[]
149,2400,NULL,4381-01,Liability,"[B2BT, PMT]",[]
150,2400,NULL,628-20,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
151,2400,NULL,704-20,Revenue,"[ICR, INV, XICR, XINV]",[]
152,2401,NULL,628-20,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
153,2407,NULL,628-20,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
154,2407,NULL,704-20,Revenue,"[ICR, INV, XICR, XINV]",[]
155,2501,NULL,408,Liability,"[B2BT, JOE, PMT, RRD, YEND]",[]
156,2501,0.0,401-10,Liability,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
157,2501,0.0,408,Liability,"[B2BT, JOE, PMT, RRD, YEND]",[]
158,2600,NULL,408,Liability,"[JOE, RRD, YEND]",[]
159,2600,75.0,408,Liability,"[JOE, RRD, YEND]",[]
160,2605,0.0,4551-01,Liability,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
161,2610,NULL,457,Liability,"[B2BT, CADJ, CLH, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR]",[]
162,2610,0.0,457,Liability,"[B2BT, JOE, PMT, RRD, XPMT, YEND]",[]
163,2610,0.0,462,Liability,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
164,3030,222.0,921-06,Expense,"[JOE, RRD, YEND]",[]
165,3032,0.0,1061,Liability,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IS, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
166,3035,0.0,117,Equity,[],[]
167,3035,0.0,921-06,Expense,"[JOE, RRD, YEND]",[]
168,3038,0.0,921-03,Expense,"[JOE, RRD, YEND]",[]
169,4000,NULL,628-03,Expense,[],[]
170,4000,NULL,704-03,Revenue,"[ICR, INV, JOE, RRD, XICR, XINV, YEND]",[]
171,4001,NULL,628-05,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
172,4001,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
173,4002,NULL,628-05,Expense,[],[]
174,4002,NULL,704-05,Revenue,"[CADJ, CLH, ICR, INV, IV, JOE, JOV, OUPA, RDCS, RRD, XICR, XINV, XOIP, XOIR, YEND]",[]
175,4003,NULL,604-01,Expense,"[RCR, RIN, XRCR, XRIN]",[]
176,4003,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
177,4004,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
178,4005,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
179,4006,NULL,628-05,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
180,4006,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
181,4009,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
182,4009,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
183,4010,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
184,4010,NULL,704-02,Revenue,"[ICR, INV, JOE, RRD, XICR, XINV, YEND]",[]
185,4015,NULL,704-15,Revenue,"[CADJ, CLH, ICR, INV, IV, JOV, OUPA, RDCS, XICR, XINV, XOIP, XOIR]",[]
186,4023,NULL,704-08,Revenue,"[CADJ, CLH, INV, IV, JOV, OUPA, RDCS, XINV, XOIP, XOIR]",[]
187,4024,NULL,704-08,Revenue,"[CADJ, CLH, INV, IV, JOV, OUPA, RDCS, XINV, XOIP, XOIR]",[]
188,4030,NULL,628-11,Expense,[],[]
189,4030,NULL,704-11,Revenue,"[ICR, INV, JOE, RCR, RIN, RRD, XICR, XINV, XRCR, XRIN, YEND]",[]
190,4035,NULL,704-50,Revenue,"[RCR, RIN, XRCR, XRIN]",[]
191,4040,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
192,4041,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
193,4055,NULL,704-03,Revenue,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
194,4061,NULL,667,Expense,"[RCR, RIN, XRCR, XRIN]",[]
195,4062,NULL,667,Expense,"[RCR, RIN, XRCR, XRIN]",[]
196,4063,NULL,667,Expense,"[RCR, RIN, XRCR, XRIN]",[]
197,4064,NULL,667,Expense,"[RCR, RIN, XRCR, XRIN]",[]
198,4083,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
199,4084,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
200,4086,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
201,4086,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
202,4087,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
203,4087,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
204,4088,NULL,628-03,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
205,4088,NULL,704-03,Revenue,[],[]
206,4094,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
207,4094,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
208,4095,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
209,4095,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
210,4096,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
211,409810,NULL,921-03,Expense,"[JOE, RRD, YEND]",[]
212,409825,NULL,921-03,Expense,"[JOE, RRD, YEND]",[]
213,409830,NULL,921-03,Expense,"[JOE, RRD, YEND]",[]
214,4099,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
215,409910,NULL,704-70E,Revenue,"[JOE, RRD, YEND]",[]
216,409915,NULL,704-70E,Revenue,"[JOE, RRD, YEND]",[]
217,409920,NULL,704-70E,Revenue,"[JOE, RRD, YEND]",[]
218,409925,NULL,704-70E,Revenue,"[JOE, RRD, YEND]",[]
219,409930,NULL,704-70E,Revenue,"[JOE, RRD, YEND]",[]
220,409935,NULL,704-70E,Revenue,"[JOE, RRD, YEND]",[]
221,4100,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
222,4100,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
223,4101,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
224,4101,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
225,4102,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
226,4102,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
227,4103,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
228,4103,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
229,4104,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
230,4104,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
231,4105,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
232,4105,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
233,4106,NULL,628-01,Expense,"[RCR, RIN, XRCR, XRIN]",[]
234,4106,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
235,4107,NULL,628-01,Expense,"[RCR, RIN, XRCR, XRIN]",[]
236,4107,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
237,4108,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
238,4108,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
239,4109,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
240,4109,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
241,4120,NULL,628-02,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
242,4120,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
243,4121,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
244,4121,NULL,704-02,Revenue,"[ICR, INV, JOE, RRD, XICR, XINV, YEND]",[]
245,4122,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
246,4122,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
247,4123,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
248,4123,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
249,4125,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
250,4125,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
251,4126,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
252,4126,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
253,4127,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
254,4127,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
255,4128,NULL,628-02,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
256,4128,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
257,4129,NULL,628-02,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
258,4129,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
259,4136,NULL,767,Revenue,"[RCR, RIN, XRCR, XRIN]",[]
260,4137,NULL,767,Revenue,"[RCR, RIN, XRCR, XRIN]",[]
261,4138,NULL,767,Revenue,"[RCR, RIN, XRCR, XRIN]",[]
262,4140,NULL,628-05,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
263,4140,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
264,4141,NULL,628-05,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
265,4141,NULL,704-05,Revenue,"[DEP, ICR, INV, XICR, XINV]",[]
266,4142,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
267,4142,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
268,4143,NULL,628-05,Expense,"[B2BT, CADJ, CLH, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
269,4143,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
270,4144,NULL,628-05,Expense,"[RCR, RIN, XRCR, XRIN]",[]
271,4144,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
272,4145,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
273,4145,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
274,4146,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
275,4146,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
276,4147,NULL,628-05,Expense,"[RCR, RIN, XRCR, XRIN]",[]
277,4147,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
278,4148,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
279,4148,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
280,4149,NULL,628-05,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
